Scenario,Original_Scenario,Mean CE (gCO2e),Std Dev (gCO2e),95% CI Lower (gCO2e),95% CI Upper (gCO2e)
Offline_invoice,Offline invoice(线下纸质发票),298.5465354881644,65.59091166174731,177.67057271036236,433.1198093419799
Offline_einvoice,Offline e-invoice(线下电子发票),294.62258198538086,65.96831243581957,170.21073182935174,428.78611238848407
Offline_card_registration,Offline card registration(线下办卡),317.7702522568918,66.24042792393269,192.52005221017677,453.1751260706447
Offline_inquiry,Offline inquiry(线下查询),238.22010789846206,49.24631957779316,146.4801350944053,338.15793375828946
Offline_processing,Offline processing(线下办理),237.3676708274685,49.502479215050215,146.61497508945223,338.010383264125
Offline_payment,Offline payment(线下缴费),302.8225046619596,66.36762733591932,180.33821403119947,437.53370180862817
Offline_loan,Offline loan(线下贷款),398.78140652543965,60.70112421856073,284.70133130312905,524.8144398117207
Offline_transfer,Offline transfer(线下转账),268.92092816586893,58.895257559375985,159.42926371695245,389.5717529886768
Offline_Repayment,Offline Repayment(线下还款),267.1424123207838,58.95808176617904,157.4911379375168,389.09559671809177
